단어,포함된 문장
러셔,ㅋㅋㅋ 그냥 듣고 흘리시고 담부터 더 안 들려 주시면 되요..전 신혼때 시아버지께 2준가 3주만에 전화드렸더니.. 아니 이게 누구우시인가아~??? 이러셔서 너무너무 놀라 그 뒤로 아예 안 하고 있습니다. ^^
러셔,뭔가 쿨한 성격일줄 알았는데 부리더 계급 안무 뽑고 러셔? 가 죄송해요ㅠㅠ 하면서 울때 안아주는거 진심 반했음
러셔,나 아침에 피부 쉐딩 블러셔 섀도우두개 아이라인만 하는데 30분 걸림 하 시간 못 줄이나
러셔,썬크림 컨실러 쿠션 파우더 눈화장 쉐딩 블러셔까지 해서 20분 걸림
러셔,썬크림 톤업크림 블러셔 입술 15분
러셔,눈에 한 10분 정도 나머지 피부랑 블러셔 입술은 그냥 5분컷 다해서 15분 쯤 걸리는 듯
럽식콘,지금은 팬아니긴한데 작년 럽식콘 간이후로 다른 콘서트 두번 갔었는데 만족이 안됨.. 투바투 노래도 다 좋고 벅차오르는 노래가 많아서 더그런듯 너무 재밌었어 두밧두 와리와리할때 ㄹㅇ 울뻔함 
룰라팔루자,조나스 브라더스랑 디싱내고 룰라팔루자에선 코이르레이랑 무대하고 이번엔 아니타임 써놓고보니까 다 올해임ㅋㅋㅋㅋ대단
르세라핌,굿즈 포카 여러종 끼워팔아서 그걸 음반판매량으로 둔갑시키거잖아 시디는 1종만 발매하게 해야되고 굿즈 포카판매량 따로 집계해서 음반판매량에 포함 시키지말고음반판매량 = 포카 굿즈판매량이잖아시디는 1종만 취급해야함 법으로 규정좀 했으면 좋겠다데뷔한 신인이 100만장팔고 멤버 많은 남돌들 수십종 포카판매를 음반판매라고 500만장 언플하는것도 웃김비정상적인 음반판매로 둔갑시키지말고 1종으로 빨리 규정좀 정하자제베원 라이즈 에이티즈 아이브 스테이씨 시은 스키즈 세븐틴 있지 더보이즈 에스파 아이들 미연  비비지  블랙핑크 제니 로제 트레저 소미 뉴진스 르세라핌 카즈하 사쿠라 투바투 방탄 정국 뷔 진 지민  엔하이픈 권은비 최예나 이채연  
르세라핌, 르세라핌이야말로 홍은채가 언니들한테 나이 많다고 꼽주고 서로 사이 안좋아보이더라 ㅠㅠ 난 르세라핌 팬인데 좀 안타까워서? 댓글 써봐 ㅠㅠ
르세라핌," NCT 127, NCT DREAM, 스트레이키즈, 투바투, 엔하이픈, 에이티즈 뉴진스 ,엔믹스, 아이브, 르세라핌, ITZY, 에스파, (여자)아이들작년 모든 연말 라인업에 들어간 1군 13팀올해 연말 라인업도 저 13팀만 다 나올 듯 ㄹㅇ  성지글 "
르세라핌, 바이럴 작작좀 저기서 1군은 뉴진스 아이브 르세라핌 에스파로 끝임
르세라핌,와..그 음들 이제는 뉴진스 르세라핌에. 이어서 아일릿까지 까겠네베플 좋아요보면 댓글쓴다음 계정여러개로 누른거임릇 까는 거 좋아요 수 보면 음들 계정 200개있는것같던데
말함,"너무 당연한 말들이긴 한데,오늘 느낀 거 솔직히 말함.나는 스물 두살이고, 로제 좋아함! 그래서 로제 때문에 광고 보고 설화수라는 브랜드에 관심이 가긴 했음.여기까진 어린 세대의 관심 끌기 성공이라 생각함.실제로 오늘 백화점에서도 사람들의 눈길이 로제 광고판이나 영상, 밝아진 판매대 등에 많이 쏠리는 건 느꼈음.암튼 나는 들어가서 유명한 크림 제품을 테스트 해봤는데......아니 인삼 냄새가 풀풀 남ㅋㅋㅋㅋㅋㅋㅋ 물론 한약, 약국 냄새 그런건 아니고우아한 냄새긴 한데....... 어느 20대가 그걸 바름? 내 얼굴에서 인삼냄새가 나는데..ㅠㅠㅠ리브랜딩을 할거면 제품 자체도 젊은 사람들 취향에 맞게 특정 라인을 새로 내서 홍보하던가 해야하는 거 아닌가...그냥 리브랜딩 추진하는 쪽이 너무 무능력하다는 걸 느꼈음.. 개 답답...  "
말함,10월달에 3일동안 하는 찰푸콘서트에 정국 게스트 온대 찰리푸스가 직접 말함 여기서 신곡 공개할려나?
말함,그럼 이게 연예인 다 해당 될텐데 굳이굳이 누구 팬들아 하면서 특정 누구만 콕 찝어 말함; 애초에 누구든 안 믿는다는 말 깔고 가면 넌 다 안 믿을 거 아냐 그걸 왜물어봄;
명의당,팬싸응모 한 명의당 한번으로 바꿔야함.. 무슨 한앨범당 한번임;
명재현,나는 명재현이 취향임 여기 곡도 지코가 짜주는 곡임? 신인 중에는 젤 괜찮더라
명재현,명재현도 잘생겼던데
명재현,나만 명재현 조아하나ㅜ
무스형,알리에서 무스형 틴트 싼맛에 하나 사봤는데 2천원짜리였나? 바르면 5분만에 입술껍데기 겁나 딱딱해짐
